Winner,Year,Wins
Murray A. ,2009,1
Musetti L.,2022,2
Nadal R.,2004,1
Nadal R.,2005,11
Nadal R.,2006,5
Nadal R.,2007,6
Nadal R.,2008,7
Nadal R.,2009,5
Nadal R.,2010,7
Nadal R.,2011,3
Nadal R.,2012,4
Nadal R.,2013,10
Nadal R.,2014,4
Nadal R.,2015,3
Nadal R.,2016,2
Nadal R.,2017,6
Nadal R.,2018,5
Nadal R.,2019,4
Nadal R.,2020,2
Nadal R.,2021,2
Nadal R.,2022,4
Nakashima B.,2022,1
Nalbandian D.,2002,2
Nalbandian D.,2005,2
Nalbandian D.,2006,1
Nalbandian D.,2007,2
Nalbandian D.,2008,3
Nalbandian D.,2009,1
Nalbandian D.,2010,1
Nieminen J.,2006,1
Nieminen J.,2012,1
Nishikori K.,2008,1
Nishikori K.,2012,1
Nishikori K.,2013,1
Nishikori K.,2014,4
Nishikori K.,2015,3
Nishikori K.,2016,1
Nishikori K.,2019,1
Nishioka Y.,2018,1
Nishioka Y.,2022,1
Nishioka Y.,2024,1
Norman M.,2000,5
Norrie C.,2021,2
Norrie C.,2022,2
Norrie C.,2023,1
Novak J.,2001,2
Novak J.,2003,1
Novak J.,2004,2
Opelka R.,2019,1
Opelka R.,2020,1
Opelka R.,2022,2
Paire B.,2015,1
Paire B.,2019,2
Paul T.,2021,1
Paul T.,2024,2
Pavel A.,2000,1
Pavel A.,2001,1
Pella G.,2019,1
Petzschner P.,2008,1
Philippoussis M.,2000,1
Philippoussis M.,2001,1
Philippoussis M.,2003,1
Philippoussis M.,2006,1
Pioline C.,2000,2
Popyrin A.,2021,1
Popyrin A.,2023,1
Popyrin A.,2024,1
Portas A.,2001,1
Pouille L.,2016,1
Pouille L.,2017,3
Pouille L.,2018,1
Prinosil D.,2000,1
Puerta M.,2000,1
Puerta M.,2005,1
Querrey S.,2008,1
Querrey S.,2009,2
Querrey S.,2010,4
Querrey S.,2012,1
Querrey S.,2016,1
Querrey S.,2017,2
Rafter P.,2000,1
Rafter P.,2001,1
Ram R.,2015,1
Ramos-Vinolas A.,2016,1
Ramos-Vinolas A.,2019,1
Ramos-Vinolas A.,2021,1
Ramos-Vinolas A.,2022,1
Raonic M.,2011,1
Raonic M.,2012,2
Raonic M.,2013,2
Raonic M.,2014,1
Raonic M.,2015,1
Raonic M.,2016,1
Rios M.,2000,1
Rios M.,2001,2
Rios M.,2003,1
Robredo T.,2001,1
Robredo T.,2004,1
Robredo T.,2006,2
Robredo T.,2007,2
Robredo T.,2008,1
Robredo T.,2009,2
Robredo T.,2011,1
Robredo T.,2013,2
Rochus O.,2000,1
Rochus O.,2006,1
Roddick A.,2001,3
Roddick A.,2002,2
Roddick A.,2003,6
Roddick A.,2004,4
Roddick A.,2005,5
Roddick A.,2006,1
Roddick A.,2007,2
Roddick A.,2008,3
Roddick A.,2009,1
Roddick A.,2010,2
Roddick A.,2011,1
Roddick A.,2012,2
Rosol L.,2013,1
Rosol L.,2014,1
Rosset M.,2000,2
Rublev A.,2017,1
Rublev A.,2019,1
Rublev A.,2020,5
Rublev A.,2021,1
Rublev A.,2022,4
